,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Muros,40,ES,1574567295,93,42.77,-9.06,53.01,5.82
1,Codrington,33,AU,1574567297,37,-28.95,153.24,87.8,19.46
2,Provideniya,0,RU,1574567297,80,64.42,-173.23,3.16,5.41
3,Aquiraz,75,BR,1574567297,78,-3.9,-38.39,86.0,8.05
4,Sioux Lookout,90,CA,1574567298,86,50.1,-91.92,33.8,6.93
5,San Patricio,0,PY,1574567298,72,-26.98,-56.83,69.64,10.56
6,Umm Lajj,0,SA,1574567299,49,25.02,37.27,63.75,1.48
7,Leningradskiy,96,RU,1574567299,97,69.38,178.42,-6.2,16.44
8,Ovalle,0,CL,1574567300,92,-30.6,-71.2,48.81,0.78
9,Reus,0,ES,1574567300,54,41.16,1.11,55.0,23.04
10,Bose,90,IT,1574567301,100,45.46,8.01,52.0,13.87
11,Esperance,67,AU,1574567301,53,-33.86,121.89,71.6,13.87
12,Susanville,1,US,1574567302,78,40.42,-120.65,33.01,5.82
13,Punta Arenas,75,CL,1574567302,81,-53.16,-70.91,50.0,11.41
14,Bluff,0,AU,1574567302,25,-23.58,149.07,90.82,11.05
15,Kapaa,90,US,1574567227,74,22.08,-159.32,86.0,21.92
16,Dikson,100,RU,1574567303,94,73.51,80.55,-0.11,14.5
17,Saint-Joseph,75,FR,1574567304,87,43.56,6.97,53.6,6.93
18,Busselton,100,AU,1574567305,29,-33.64,115.35,80.01,9.15
19,Rikitea,80,PF,1574567305,65,-23.12,-134.97,71.91,7.54
20,Farafangana,31,MG,1574567305,65,-22.82,47.83,76.06,10.96
21,Poli,3,CM,1574567306,37,8.48,13.24,72.52,1.97
22,Saint-Philippe,1,CA,1574567307,69,45.36,-73.48,33.8,4.7
23,Yellowknife,90,CA,1574567307,92,62.45,-114.38,17.6,11.41
24,Mataura,90,NZ,1574567308,63,-46.19,168.86,59.0,23.0
25,Padang,100,ID,1574567308,91,-0.92,100.36,70.97,2.44
26,Ponta Do Sol,100,BR,1574567308,90,-20.63,-46.0,67.35,0.85
27,Lavrentiya,23,RU,1574567309,79,65.58,-170.99,10.11,17.47
28,Conde,24,BR,1574567085,81,-11.81,-37.61,79.02,20.18
29,Porto Novo,75,BR,1574567310,88,-23.68,-45.44,66.2,2.24
30,Victoria,75,BN,1574567185,70,5.28,115.24,86.0,2.24
31,Ahipara,3,NZ,1574567311,63,-35.17,173.16,79.0,22.12
32,Diu,0,IN,1574567311,63,20.71,70.98,80.19,16.26
33,Hobyo,84,SO,1574567312,81,5.35,48.53,78.8,16.15
34,Barrow,0,AR,1574567312,63,-38.31,-60.23,52.25,15.01
35,Kloulklubed,75,PW,1574567313,66,7.04,134.26,87.8,5.82
36,Hithadhoo,24,MV,1574567313,80,-0.6,73.08,82.74,14.81
37,Lorengau,57,PG,1574567314,74,-2.02,147.27,82.89,13.22
38,Huarmey,100,PE,1574567314,80,-10.07,-78.15,63.01,2.39
39,Mar Del Plata,100,AR,1574567315,56,-46.43,-67.52,65.37,6.31
40,Albany,1,US,1574567147,86,42.65,-73.75,36.0,5.82
41,Coihaique,79,CL,1574567315,71,-45.58,-72.07,55.4,8.05
42,Hermanus,0,ZA,1574567316,83,-34.42,19.24,60.01,3.0
43,Hobart,75,AU,1574567102,30,-42.88,147.33,71.01,14.99
44,Richards Bay,100,ZA,1574567317,92,-28.77,32.06,73.58,26.06
45,Port Shepstone,90,ZA,1574567318,95,-30.74,30.45,66.52,4.41
46,Morondava,33,MG,1574567318,73,-20.3,44.28,78.39,1.41
47,Kruisfontein,15,ZA,1574567318,88,-34.0,24.73,54.84,4.23
48,Springbok,0,ZA,1574567271,73,-29.67,17.88,43.27,1.77
49,Semirom,14,IR,1574567320,49,31.41,51.57,21.52,2.51
50,Airai,0,TL,1574567320,29,-8.93,125.41,88.0,7.96
51,Luderitz,0,NA,1574567321,74,-26.65,15.16,59.97,27.94
52,Narsaq,51,GL,1574567321,53,60.91,-46.05,23.0,6.76
53,Paka,100,CF,1574567322,80,4.15,15.03,67.68,1.1
54,Ribeira Grande,100,PT,1574567322,91,38.52,-28.7,64.11,14.85
55,Tautira,75,PF,1574567323,66,-17.73,-149.15,84.2,4.7
56,Pisco,90,PE,1574567323,88,-13.71,-76.2,68.0,14.99
57,Chokurdakh,80,RU,1574567324,99,70.62,147.9,-25.47,9.26
58,Castro,40,CL,1574567324,100,-42.48,-73.76,50.0,9.17
59,Thompson,90,CA,1574567324,92,55.74,-97.86,21.2,5.82
60,Alta Floresta,78,BR,1574567325,98,-9.87,-56.08,70.84,4.14
61,Puerto Ayora,32,EC,1574567325,81,-0.74,-90.35,70.0,4.0
62,Saskylakh,100,RU,1574567326,100,71.97,114.09,-29.56,0.09
63,Port Alfred,100,ZA,1574567326,81,-33.59,26.89,64.99,1.99
64,Mahebourg,75,MU,1574567327,94,-20.41,57.7,78.01,6.93
65,Stephenville,90,CA,1574567327,86,48.55,-58.59,37.4,14.99
66,Les Cayes,42,HT,1574567328,74,18.19,-73.75,80.96,11.81
67,Port Hedland,62,AU,1574567328,39,-20.31,118.58,96.8,14.99
68,Chuy,0,UY,1574567329,73,-33.69,-53.46,59.86,10.18
69,Sibolga,55,ID,1574567329,64,1.74,98.78,85.21,1.36
70,Fairbanks,90,US,1574567102,92,64.84,-147.72,21.99,1.43
71,Torbay,40,CA,1574567330,79,47.66,-52.73,35.01,14.99
72,Ushuaia,100,AR,1574567330,85,-54.81,-68.31,38.93,6.93
73,Asyut,0,EG,1574567331,66,27.18,31.19,55.53,6.58
74,Vaini,0,IN,1574567331,73,15.34,74.49,71.6,4.7
75,Labuhan,62,ID,1574567332,50,-2.54,115.51,92.5,2.46
76,Cape Town,75,ZA,1574567298,93,-33.93,18.42,61.0,5.82
77,East London,90,ZA,1574567293,93,-33.02,27.91,64.4,9.17
78,Bodden Town,9,KY,1574567173,94,19.28,-81.25,78.01,7.72
79,Ambilobe,99,MG,1574567334,84,-13.19,49.05,77.77,6.04
80,Nikolskoye,55,RU,1574567335,85,59.7,30.79,16.0,2.24
81,Coquimbo,0,CL,1574567313,82,-29.95,-71.34,59.0,4.7
82,Nhulunbuy,0,AU,1574567336,58,-12.18,136.78,87.8,9.17
83,Micheweni,100,TZ,1574567336,79,-4.97,39.83,82.29,4.79
84,Dunedin,3,NZ,1574567248,71,-45.87,170.5,57.0,37.0
85,Zhigansk,100,RU,1574567337,96,66.77,123.37,-18.26,7.02
86,New Norfolk,75,AU,1574567337,30,-42.78,147.06,71.01,14.99
87,Fort Nelson,20,CA,1574567338,92,58.81,-122.69,23.0,3.36
88,Sitka,0,US,1574567338,69,37.17,-99.65,36.0,7.45
89,Souillac,75,FR,1574567339,100,45.6,-0.6,45.0,4.7
90,Uyemskiy,90,RU,1574567339,85,64.47,40.85,23.0,6.71
91,Tucurui,0,BR,1574567339,85,-3.77,-49.67,73.44,3.11
92,Arraial Do Cabo,78,BR,1574567340,91,-22.97,-42.02,73.09,21.3
93,Qaqortoq,57,GL,1574567340,53,60.72,-46.03,23.0,7.0
94,Linjiang,100,CN,1574567225,93,41.81,126.91,24.69,3.29
95,Kahului,20,US,1574567341,57,20.89,-156.47,80.6,17.22
96,Sola,100,TZ,1574567342,91,-3.17,33.8,64.6,4.29
97,Bam,0,IR,1574567342,47,29.11,58.36,43.41,1.63
98,Butaritari,100,KI,1574567342,61,3.07,172.79,83.8,3.38
99,Tarakan,40,ID,1574567343,74,3.3,117.63,87.8,6.93
100,Kavieng,32,PG,1574567343,72,-2.57,150.8,83.07,9.37
101,Eenhana,98,NA,1574567344,72,-17.48,16.34,71.35,5.93
102,Blairmore,40,CA,1574567345,64,49.61,-114.44,39.99,33.33
103,Khatanga,95,RU,1574567345,100,71.98,102.47,-21.96,2.26
104,Oyama,90,JP,1574567345,93,36.31,139.8,69.01,6.93
105,Hamilton,75,CA,1574567209,83,43.26,-79.87,37.99,2.24
106,Gamba,41,CN,1574567346,34,28.28,88.52,31.28,4.7
107,Adrar,0,DZ,1574567347,47,27.87,-0.29,57.2,6.93
108,Aleksandrovsk,100,RU,1574567347,99,59.16,57.56,25.0,7.74
109,Bethel,90,US,1574567265,100,60.79,-161.76,23.0,9.17
110,Bambous Virieux,75,MU,1574567348,94,-20.34,57.76,78.01,6.93
111,Rusape,100,ZW,1574567348,84,-18.53,32.12,66.36,6.89
112,Pahrump,1,US,1574567349,75,36.21,-115.98,51.01,6.93
113,Carnarvon,0,ZA,1574567349,77,-30.97,22.13,51.93,7.23
114,Vao,0,EE,1574567350,60,59.1,26.19,23.31,4.76
115,Makakilo City,20,US,1574567350,65,21.35,-158.09,80.6,10.29
116,Kaitangata,10,NZ,1574567351,65,-46.28,169.85,55.09,32.35
117,Vila Franca Do Campo,75,PT,1574567351,88,37.72,-25.43,68.0,19.46
118,Gizo,0,IL,1574567351,81,31.8,34.94,59.0,1.12
119,Teahupoo,75,PF,1574567352,66,-17.83,-149.27,84.2,4.7
120,Deputatskiy,100,RU,1574567352,93,69.3,139.9,-26.23,4.52
121,Georgetown,20,GY,1574567256,100,6.8,-58.16,75.2,4.7
122,Upernavik,100,GL,1574567353,60,72.79,-56.15,34.32,23.42
123,Tonantins,49,BR,1574567354,95,-2.86,-67.77,74.26,1.99
124,Bredasdorp,23,ZA,1574567354,77,-34.53,20.04,59.0,5.82
125,Mayumba,100,GA,1574567354,81,-3.44,10.65,79.72,11.39
126,Vestmannaeyjar,99,IS,1574567355,72,63.44,-20.27,42.3,14.14
127,Lagoa,25,PT,1574567355,93,37.14,-8.45,53.01,5.82
128,Saint-Pierre,95,FR,1574567356,100,48.95,4.24,39.99,5.82
129,Avarua,100,CK,1574567356,83,-21.21,-159.78,77.0,8.05
130,Aklavik,20,CA,1574567357,77,68.22,-135.01,-0.4,3.36
131,Dogondoutchi,0,NE,1574567357,15,13.64,4.03,80.65,6.78
132,Homer,90,US,1574567357,59,59.64,-151.54,37.0,14.99
133,Truth Or Consequences,1,US,1574567358,57,33.13,-107.25,48.2,4.7
134,Touros,40,BR,1574567358,78,-5.2,-35.46,78.8,3.36
135,Hilo,90,US,1574567261,88,19.71,-155.08,73.4,6.93
136,Tomatlan,46,MX,1574567359,97,19.93,-105.25,70.86,1.61
137,Vila Velha,75,BR,1574567360,78,-3.71,-38.6,86.0,8.05
138,Kahta,23,TR,1574567360,39,37.78,38.62,44.6,5.82
139,Kyzyl-Suu,100,KG,1574567360,69,42.34,78.0,31.55,11.12
140,Ossora,100,RU,1574567361,88,59.24,163.07,20.26,2.71
141,Ust-Maya,100,RU,1574567362,91,60.42,134.54,-17.05,5.46
142,Toora-Khem,71,RU,1574567363,80,52.47,96.11,-1.68,2.44
143,Mount Isa,40,AU,1574567407,13,-20.73,139.49,100.4,9.17
144,Avera,75,US,1574567354,82,33.19,-82.53,62.6,6.93
145,Panzhihua,89,CN,1574567407,55,26.59,101.72,64.0,1.01
146,Saint George,75,GR,1574567115,93,39.45,22.34,53.6,4.7
147,Dubbo,70,AU,1574567408,33,-32.25,148.6,87.8,12.75
148,Husavik,67,CA,1574567409,80,50.56,-96.99,39.0,8.99
149,Tulun,100,RU,1574567409,70,54.56,100.58,13.1,6.62
150,Nelson Bay,75,AU,1574567409,68,-32.72,152.14,72.0,3.13
151,Kavaratti,20,IN,1574567409,74,10.57,72.64,86.0,4.7
152,Geraldton,90,CA,1574567410,92,49.72,-86.95,30.2,4.7
153,Kano,0,NG,1574567410,22,11.99,8.53,75.96,4.52
154,Srednekolymsk,100,RU,1574567410,97,67.46,153.71,-18.27,3.89
155,Kalmunai,100,LK,1574567411,75,7.42,81.82,83.7,13.96
156,Tateyama,75,JP,1574567411,52,36.66,137.31,68.0,4.7
157,Wanning,8,AT,1574567412,87,48.64,13.53,46.99,9.17
158,Beyneu,0,KZ,1574567412,65,45.32,55.19,21.22,6.71
159,Bereda,20,ES,1574567412,87,43.27,-7.54,48.99,6.93
160,Cherskiy,18,RU,1574567413,92,68.75,161.3,-28.32,3.6
161,Dwarka,40,IN,1574567413,68,28.58,77.04,66.2,5.82
162,Pevek,100,RU,1574567413,100,69.7,170.27,-16.04,7.87
163,Bonavista,96,CA,1574567414,89,48.65,-53.11,34.0,1.01
164,Hare Bay,20,CA,1574567414,92,48.86,-53.99,30.2,8.05
165,Tirat Karmel,9,IL,1574567414,45,32.76,34.97,61.0,3.0
166,Isangel,75,VU,1574567414,61,-19.55,169.27,80.6,18.34
167,Monticello,1,US,1574567415,86,40.03,-88.57,35.6,8.05
168,Sao Felix Do Xingu,83,BR,1574567415,98,-6.64,-51.99,68.11,2.53
169,Westport,90,US,1574567416,58,41.14,-73.36,45.0,8.05
170,Broome,98,GB,1574567416,100,52.47,1.45,46.99,4.81
171,Suoyarvi,100,RU,1574567416,66,62.08,32.35,22.84,4.61
172,Dingle,17,PH,1574567417,80,11.0,122.67,83.53,11.43
173,Singaparna,97,ID,1574567417,69,-7.35,108.11,79.88,4.54
174,Kungurtug,73,RU,1574567417,68,50.6,97.53,-2.56,2.55
175,Batagay-Alyta,27,RU,1574567417,69,67.8,130.41,-31.4,2.8
176,Kitui,98,KE,1574567418,90,-1.37,38.02,65.37,5.12
177,Lompoc,1,US,1574567418,66,34.64,-120.46,64.4,3.36
178,Alexandria,100,RO,1574567208,99,43.97,25.33,37.0,1.01
179,Kidal,0,ML,1574567419,14,18.44,1.41,71.98,9.46
180,Lima,90,PE,1574567145,88,-12.06,-77.04,68.0,14.99
181,Necochea,0,AR,1574567419,92,-38.55,-58.74,52.0,7.0
182,Nizwa,0,OM,1574567419,82,22.93,57.53,60.01,0.65
183,Arklow,90,IE,1574567420,100,52.79,-6.14,46.0,5.82
184,Soverato,40,IT,1574567420,77,38.69,16.55,62.6,14.99
185,Atuona,1,PF,1574567420,78,-9.8,-139.03,79.36,17.29
186,Cabo San Lucas,5,MX,1574567363,82,22.89,-109.91,71.01,6.93
187,Sobolevo,100,RU,1574567421,38,54.43,31.9,22.23,9.66
188,Mehamn,100,NO,1574567421,88,71.03,27.85,36.09,14.79
189,Mizan Teferi,100,ET,1574567421,99,6.99,35.58,62.73,1.79
190,Waipawa,0,NZ,1574567422,54,-39.94,176.59,75.99,8.01
191,Praia Da Vitoria,20,PT,1574567422,94,38.73,-27.07,68.0,15.37
192,Campo Verde,75,PE,1574567422,88,-8.47,-74.81,71.6,5.82
193,Tuktoyaktuk,90,CA,1574567422,85,69.44,-133.03,10.4,5.82
194,La Paz,5,MX,1574567423,72,24.15,-110.32,68.0,12.59
195,Yumen,0,CN,1574567423,21,40.29,97.04,16.16,22.55
196,Port Hardy,90,CA,1574567423,93,50.7,-127.42,48.2,9.17
197,Bauchi,0,NG,1574567424,29,10.31,9.85,71.6,2.91
198,Faanui,74,PF,1574567424,77,-16.48,-151.75,81.7,12.01
199,Alofi,83,NU,1574567424,94,-19.06,-169.92,77.0,4.7
200,Hami,0,CN,1574567425,14,42.84,93.51,27.19,3.76
201,Shingu,75,JP,1574567425,72,33.72,135.99,68.0,3.36
202,Ust-Omchug,100,RU,1574567426,98,61.13,149.63,-5.22,10.94
203,Los Llanos De Aridane,1,ES,1574567426,72,28.66,-17.92,66.2,4.7
204,Lebu,75,ET,1574567426,100,8.96,38.73,55.4,2.24
205,Chengde,12,CN,1574567426,20,40.97,117.93,27.57,15.23
206,Ilulissat,100,GL,1574567427,59,69.22,-51.1,37.4,20.8
207,Olinda,0,AU,1574567427,37,-37.84,145.39,79.0,8.05
208,Tasiilaq,3,GL,1574567427,67,65.61,-37.64,21.2,4.7
209,Sindi,45,EE,1574567428,61,58.41,24.66,28.0,4.0
210,Qaanaaq,100,GL,1574567428,66,77.48,-69.36,11.5,8.84
211,Kirakira,75,SB,1574567428,80,-10.46,161.92,79.83,7.07
212,Wattegama,87,LK,1574567429,75,7.35,80.68,79.27,1.86
213,Ishigaki,75,JP,1574567429,78,24.34,124.16,80.6,9.17
214,Fortuna,1,US,1574567430,100,40.6,-124.16,46.99,3.36
215,Jamestown,0,AU,1574567430,12,-33.21,138.6,82.76,9.98
216,Puri,58,ID,1574567431,37,-7.54,112.45,95.23,3.51
217,Mahibadhoo,89,MV,1574567431,78,3.78,72.97,83.39,13.67
218,Kargasok,100,RU,1574567431,95,59.06,80.87,8.96,6.17
219,Tecoanapa,40,MX,1574567432,83,16.99,-99.26,80.6,0.31
220,Teseney,0,ER,1574567432,56,15.11,36.66,74.8,7.11
221,Atar,0,MR,1574567432,46,20.52,-13.05,66.52,8.34
222,Sur,0,OM,1574567432,68,22.57,59.53,71.83,8.55
223,Mandalgovi,0,MN,1574567433,33,45.76,106.27,7.5,16.49
224,Wanaka,0,NZ,1574567433,36,-44.7,169.14,60.93,7.83
225,Malmesbury,90,GB,1574567376,100,51.58,-2.1,48.99,3.36
226,Barinitas,31,VE,1574567434,96,8.76,-70.41,50.18,1.74
227,Ostrovnoy,100,RU,1574567434,93,68.05,39.51,26.35,16.33
228,Kaya,0,NG,1574567434,23,13.31,12.68,76.91,8.46
229,Usinsk,99,RU,1574567435,98,66.0,57.56,26.94,4.72
230,Pangkalanbuun,91,ID,1574567435,79,-2.68,111.62,84.33,1.7
231,Marmarion,75,GR,1574567435,93,38.05,24.32,60.01,4.7
232,Port Elizabeth,90,US,1574567436,93,39.31,-74.98,52.0,6.93
233,Roald,100,NO,1574567436,86,62.58,6.12,41.0,4.7
234,Mezen,80,RU,1574567437,92,65.85,44.24,21.87,9.73
235,Port Augusta,0,AU,1574567437,41,-32.49,137.76,77.0,11.41
236,Magole,75,TZ,1574567437,100,-6.37,37.37,71.6,2.64
237,Suluq,28,LY,1574567438,67,31.67,20.25,60.57,16.87
238,Sumbe,100,AO,1574567438,82,-11.2,13.84,73.27,0.63
239,Saint-Georges,3,CA,1574567241,78,46.12,-70.67,30.99,1.99
240,Vagur,100,FO,1574567439,95,61.47,-6.81,46.49,20.45
241,Tortoli,20,IT,1574567439,81,39.93,9.66,53.6,9.17
242,Kalabo,100,ZM,1574567439,88,-15.0,22.67,68.31,3.31
243,Pointe Michel,70,DM,1574567440,77,15.25,-61.38,81.84,13.69
244,Clyde River,1,CA,1574567440,73,70.47,-68.59,26.6,13.87
245,Auriflama,100,BR,1574567440,82,-20.68,-50.56,74.91,3.47
246,Rocha,23,UY,1574567440,87,-34.48,-54.34,51.35,4.81
247,Morrope,75,PE,1574567441,29,-6.54,-80.02,66.2,9.17
248,Marathon,100,CA,1574567441,83,48.72,-86.38,37.33,11.18
249,Dakar,3,SN,1574567442,88,14.69,-17.45,73.4,9.17
250,Pitimbu,20,BR,1574567442,83,-7.47,-34.81,77.0,3.36
251,Shaoguan,0,CN,1574567442,42,24.81,113.59,78.4,1.21
252,Bintulu,75,MY,1574567442,74,3.17,113.03,87.8,4.7
253,Alice Springs,38,AU,1574567443,9,-23.7,133.88,91.4,12.75
254,Narrabri,100,AU,1574567443,37,-30.33,149.78,84.2,8.05
255,Karratha,54,AU,1574567443,48,-20.74,116.85,87.19,12.46
256,Eureka,1,US,1574567443,100,40.8,-124.16,46.99,3.36
257,Dillon,1,US,1574567444,59,45.22,-112.64,34.0,10.29
258,Shetpe,0,KZ,1574567444,36,44.14,52.16,21.36,4.38
259,Luzhou,96,CN,1574567445,71,28.89,105.45,56.46,6.58
260,Hovd,0,NO,1574567445,87,63.83,10.7,44.01,12.75
261,Samarai,0,PG,1574567445,56,-10.62,150.67,84.04,11.45
262,Iquitos,75,PE,1574567342,94,-3.75,-73.25,71.6,1.12
263,Cravo Norte,9,CO,1574567446,87,6.3,-70.2,76.71,3.98
264,Halifax,5,CA,1574567446,68,44.65,-63.58,34.0,19.46
265,Panaba,0,MX,1574567446,81,21.28,-88.27,73.89,4.7
266,Kyabe,96,TD,1574567447,32,9.45,18.94,71.69,3.38
267,Christchurch,100,NZ,1574567211,64,-43.53,172.64,82.99,18.34
268,Jaypur,13,IN,1574567447,54,23.05,87.44,74.19,2.86
269,Yermakovskoye,97,RU,1574567447,84,53.28,92.4,4.68,3.8
270,Chapais,90,CA,1574567448,92,49.78,-74.86,28.4,8.05
271,Te Anau,23,NZ,1574567448,63,-45.41,167.72,53.33,8.86
272,Dzierzoniow,20,PL,1574567448,86,50.73,16.65,48.99,10.29
273,Baykit,100,RU,1574567449,96,61.68,96.39,2.59,3.49
274,Jumla,28,NP,1574567449,35,29.28,82.18,48.43,1.81
275,Saldanha,26,PT,1574567449,97,41.42,-6.55,38.93,5.73
